city,state_id,county_name,lat,lng
Lompoc,CA,Santa Barbara,34.6618,-120.4714
South Gate,CA,Los Angeles,33.9448,-118.1926
Bolinas,CA,Marin,37.9177,-122.7095
Norris Canyon,CA,Contra Costa,37.7454,-121.9878
Hemet,CA,Riverside,33.7341,-116.9969
Chalfant,CA,Mono,37.5105,-118.375
Spaulding,CA,Lassen,40.6556,-120.7863
Hamilton Branch,CA,Plumas,40.2772,-121.0961
Arbuckle,CA,Colusa,39.0141,-122.061
Philo,CA,Mendocino,39.0657,-123.4452
Lexington Hills,CA,Santa Clara,37.1616,-121.9879
Gazelle,CA,Siskiyou,41.5137,-122.5215
Forbestown,CA,Butte,39.53,-121.2689
Loma Mar,CA,San Mateo,37.2658,-122.3007
Little Grass Valley,CA,Plumas,39.7252,-120.9591
Goshen,CA,Tulare,36.3518,-119.421
Antelope,CA,Sacramento,38.7153,-121.361
Humboldt Hill,CA,Humboldt,40.7219,-124.1987
Guerneville,CA,Sonoma,38.5137,-122.9894
Fresno,CA,Fresno,36.7831,-119.7941
East Foothills,CA,Santa Clara,37.3827,-121.8138
North El Monte,CA,Los Angeles,34.1029,-118.0239
Union City,CA,Alameda,37.603,-122.0187
Walnut,CA,Los Angeles,34.0334,-117.8593
El Granada,CA,San Mateo,37.5134,-122.466
Orange,CA,Orange,33.8038,-117.8218
Deer Park,CA,Napa,38.5361,-122.4679
Bradley,CA,Monterey,35.8628,-120.8042
Buena Park,CA,Orange,33.8572,-118.0046
Fort Bidwell,CA,Modoc,41.8629,-120.1589
Citrus,CA,Los Angeles,34.1161,-117.889
Camino,CA,El Dorado,38.7412,-120.6814
Newman,CA,Stanislaus,37.3157,-121.0211
Loma Linda,CA,San Bernardino,34.0451,-117.2498
River Pines,CA,Amador,38.5454,-120.7475
Garden Farms,CA,San Luis Obispo,35.4158,-120.614
Moskowite Corner,CA,Riverside,38.4464,-122.1945
Pomona,CA,Los Angeles,34.0585,-117.7626
Stratford,CA,Kings,36.1884,-119.8224
Lake Elsinore,CA,Riverside,33.6846,-117.3344
Covina,CA,Los Angeles,34.0903,-117.8817
Larkfield-Wikiup,CA,Sonoma,38.513,-122.7536
Cayucos,CA,San Luis Obispo,35.4375,-120.8847
Albany,CA,Alameda,37.8898,-122.3018
Fallbrook,CA,San Diego,33.3693,-117.2258
Borrego Springs,CA,San Diego,33.241,-116.3572
Paramount,CA,Los Angeles,33.8977,-118.1652
Winterhaven,CA,Imperial,32.7372,-114.6378
Dos Palos,CA,Merced,36.9854,-120.6337
Lake San Marcos,CA,San Diego,33.1197,-117.2089
Manteca,CA,San Joaquin,37.7934,-121.2266
Kerman,CA,Fresno,36.7249,-120.0625
Nipomo,CA,San Luis Obispo,35.0323,-120.499
San Dimas,CA,Los Angeles,34.1082,-117.809
Loyola,CA,Santa Clara,37.3502,-122.098
Buttonwillow,CA,Kern,35.4092,-119.4406
Keswick,CA,Shasta,40.6135,-122.4606
Marina del Rey,CA,Los Angeles,33.9765,-118.4486
Vincent,CA,Los Angeles,34.0982,-117.9238
Greenhorn,CA,Plumas,39.903,-120.759
Santa Rosa Valley,CA,Ventura,34.2453,-118.9023
Westhaven-Moonstone,CA,Humboldt,41.0447,-124.1023
Creston,CA,San Luis Obispo,35.5173,-120.521
French Camp,CA,San Joaquin,37.8802,-121.2803
Forest Meadows,CA,Calaveras,38.1664,-120.4052
Davis,CA,Yolo,38.5552,-121.7365
Hollister,CA,San Benito,36.8563,-121.3981
El Rio,CA,Ventura,34.2453,-119.1568
Morro Bay,CA,San Luis Obispo,35.3681,-120.8482
Monte Rio,CA,Sonoma,38.4683,-123.0147
Cameron Park,CA,El Dorado,38.6737,-120.9872
Lakeport,CA,Lake,39.0392,-122.9218
Upper Lake,CA,Lake,39.1653,-122.9052
Georgetown,CA,El Dorado,38.9111,-120.8356
Malibu,CA,Los Angeles,34.0368,-118.7845
Hartland,CA,Tulare,36.6518,-118.9553
Redondo Beach,CA,Los Angeles,33.8574,-118.3766
Lake Almanor West,CA,Plumas,40.2335,-121.202
Lamont,CA,Kern,35.2651,-118.9159
Bieber,CA,Lassen,41.1251,-121.1336
Moss Landing,CA,Monterey,36.8019,-121.7872
Anaheim,CA,Orange,33.839,-117.8573
Mojave,CA,Kern,35.0139,-118.1895
Camanche Village,CA,Amador,38.2662,-120.9866
Julian,CA,San Diego,33.0735,-116.5889
Bell Canyon,CA,Ventura,34.2081,-118.6876
Biggs,CA,Butte,39.4132,-121.71
Florin,CA,Sacramento,38.4832,-121.4042
Talmage,CA,Mendocino,39.1314,-123.1648
Linda,CA,Yuba,39.1242,-121.5421
Butte Valley,CA,Butte,39.6571,-121.6363
West Carson,CA,Los Angeles,33.8229,-118.2931
Fall River Mills,CA,Shasta,41.0069,-121.4401
Claremont,CA,Los Angeles,34.1259,-117.7153
Pleasant Hill,CA,Contra Costa,37.954,-122.0759
Santa Ynez,CA,Santa Barbara,34.6151,-120.0944
Santa Clarita,CA,Los Angeles,34.4155,-118.4992
Derby Acres,CA,Kern,35.244,-119.6039
Hanford,CA,Kings,36.3264,-119.6544
Clearlake,CA,Lake,38.959,-122.6331
Morada,CA,San Joaquin,38.0386,-121.2456
Brea,CA,Orange,33.9254,-117.8654
Lake Arrowhead,CA,San Bernardino,34.2531,-117.1945
Drytown,CA,Amador,38.4382,-120.8565
Los Angeles,CA,Los Angeles,34.1139,-118.4068
Smartsville,CA,Yuba,39.2053,-121.2928
Calipatria,CA,Imperial,33.1493,-115.5056
Esparto,CA,Yolo,38.6934,-122.0241
Manchester,CA,Mendocino,38.9743,-123.691
Monmouth,CA,Fresno,36.5656,-119.7405
Rio Dell,CA,Humboldt,40.5024,-124.1105
Princeton,CA,Colusa,39.4029,-122.0212
Mountain View Acres,CA,San Bernardino,34.4976,-117.3472
Lake of the Pines,CA,Nevada,39.0378,-121.0642
Yolo,CA,Yolo,38.7405,-121.8093
Penn Valley,CA,Nevada,39.1954,-121.1942
McKittrick,CA,Kern,35.2981,-119.6249
Soulsbyville,CA,Tuolumne,37.9917,-120.2617
Thousand Oaks,CA,Ventura,34.1914,-118.8755
Fairmead,CA,Madera,37.0775,-120.1937
Grover Beach,CA,San Luis Obispo,35.1204,-120.6199
Westmorland,CA,Imperial,33.0389,-115.6223
West Bishop,CA,Inyo,37.3571,-118.4542
Lebec,CA,Kern,34.845,-118.8992
Crows Landing,CA,Stanislaus,37.3947,-121.0843
Hardwick,CA,Kings,36.4026,-119.7207
Pine Hills,CA,Humboldt,40.7313,-124.1551
Gold River,CA,Sacramento,38.6268,-121.2487
Mill Valley,CA,Marin,37.9085,-122.542
Topaz,CA,Mono,38.6587,-119.5274
Glendale,CA,Los Angeles,34.1818,-118.2468
Pixley,CA,Tulare,35.9769,-119.2889
Santa Rosa,CA,Sonoma,38.4458,-122.7067
Whitley Gardens,CA,San Luis Obispo,35.6571,-120.5068
Richgrove,CA,Tulare,35.7966,-119.1069
Los Banos,CA,Merced,37.0631,-120.8405
Volta,CA,Merced,37.0875,-120.9235
Fillmore,CA,Ventura,34.399,-118.9181
Bret Harte,CA,Stanislaus,37.6021,-121.0045
Brentwood,CA,Contra Costa,37.9356,-121.719
Shasta Lake,CA,Shasta,40.679,-122.3775
Cutten,CA,Humboldt,40.7657,-124.1446
Mead Valley,CA,Riverside,33.8333,-117.2852
Nicolaus,CA,Sutter,38.8981,-121.5729
Fort Irwin,CA,San Bernardino,35.2476,-116.6834
Mariposa,CA,Mariposa,37.4873,-119.9683
Wallace,CA,Calaveras,38.1978,-120.9586
Acampo,CA,San Joaquin,38.1735,-121.2798
Mentone,CA,San Bernardino,34.0609,-117.1109
Waukena,CA,Tulare,36.1361,-119.5109
Desert Center,CA,Riverside,33.7378,-115.3666
Port Costa,CA,Contra Costa,38.0446,-122.185
Cromberg,CA,Plumas,39.8684,-120.6905
Highland,CA,San Bernardino,34.1113,-117.1654
Hidden Hills,CA,Los Angeles,34.1637,-118.6612
Los Osos,CA,San Luis Obispo,35.3068,-120.8249
Encinitas,CA,San Diego,33.049,-117.2613
Los Olivos,CA,Santa Barbara,34.6647,-120.118
Johnsville,CA,Plumas,39.7663,-120.713
Piñon Hills,CA,San Bernardino,34.4438,-117.6214
Sanger,CA,Fresno,36.6992,-119.5576
Oakland,CA,Alameda,37.7903,-122.2165
Shell Ridge,CA,Contra Costa,37.906,-122.0344
Greenacres,CA,Kern,35.3831,-119.1184
Lockeford,CA,San Joaquin,38.1508,-121.1554
La Porte,CA,Plumas,39.6725,-120.9852
View Park-Windsor Hills,CA,Los Angeles,33.9955,-118.3484
Indian Falls,CA,Plumas,40.0587,-120.9803
Tara Hills,CA,Contra Costa,37.9939,-122.3188
East San Gabriel,CA,Los Angeles,34.1198,-118.0807
Richfield,CA,Tehama,39.9738,-122.1733
Sea Ranch,CA,Sonoma,38.7166,-123.4528
Lake Sherwood,CA,Ventura,34.1339,-118.8804
Cypress,CA,Orange,33.8171,-118.0386
Belvedere,CA,Marin,37.8735,-122.4662
Comptche,CA,Mendocino,39.2651,-123.5897
Granite Bay,CA,Placer,38.7601,-121.1714
Forest Ranch,CA,Butte,39.8952,-121.6705
Poway,CA,San Diego,32.9872,-117.0201
Ballico,CA,Merced,37.4519,-120.7037
Monrovia,CA,Los Angeles,34.165,-117.9921
Orick,CA,Humboldt,41.2909,-124.0692
Lake Isabella,CA,Kern,35.6378,-118.4819
Bayview,CA,Humboldt,40.7653,-124.1786
Nubieber,CA,Lassen,41.0966,-121.1816
Lakeside,CA,San Diego,32.856,-116.904
Diamond Bar,CA,Los Angeles,33.9991,-117.8161
Visalia,CA,Tulare,36.3276,-119.3269
Lindcove,CA,Tulare,36.3595,-119.0721
La Riviera,CA,Sacramento,38.5683,-121.3544
Jenner,CA,Sonoma,38.4511,-123.1204
Home Gardens,CA,Riverside,33.8784,-117.5116
Moraga,CA,Contra Costa,37.8438,-122.1225
Kelseyville,CA,Lake,38.9704,-122.8327
